month,sell_date,expiry,spot,settle,eth_move,prev_move,prev_low,prev_high,iv,side,strike,premium_pct,size_eth,notional,size_x,premium,payoff,option_pnl,hedge_fills,hedge_pnl,pnl,cum_pnl,deficit_after,worst_intramonth_loss
2023-01,2022-12-30,2023-01-27,1187.8100,1582.8900,0.3326,0.0036,1150.0000,1353.1500,0.5629,PUT,1200,0.0677,8.4189,10000.0000,1.0000,667.4125,0.0000,667.4125,0,0.0000,667.4125,667.4125,0.0000,118.0100
2023-02,2023-01-27,2023-02-24,1582.8900,1652.6300,0.0441,0.3326,1180.0000,1680.6000,0.5888,PUT,1600,0.0709,6.3176,10000.0000,1.0000,698.7612,0.0000,698.7612,0,0.0000,698.7612,1366.1737,0.0000,304.0766
2023-03,2023-02-24,2023-03-31,1652.6300,1789.1800,0.0826,0.0441,1462.6500,1744.6500,0.5475,PUT,1700,0.0838,6.0510,10000.0000,1.0000,826.6496,0.0000,826.6496,0,0.0000,826.6496,2192.8233,0.0000,1235.8821
2023-04,2023-03-31,2023-04-28,1789.1800,1919.5000,0.0728,0.0826,1369.4500,1862.3000,0.5913,PUT,1800,0.0685,5.5892,10000.0000,1.0000,675.4280,0.0000,675.4280,0,0.0000,675.4280,2868.2513,0.0000,97.5505
2023-05,2023-04-28,2023-05-26,1919.5000,1813.7400,-0.0551,0.0728,1763.3500,2147.9500,0.4894,PUT,1900,0.0488,5.2097,10000.0000,1.0000,480.3945,450.8052,29.5893,0,0.0000,29.5893,2897.8406,0.0000,484.0929
2023-06,2023-05-26,2023-06-30,1813.7400,1883.9000,0.0387,-0.0551,1736.5500,2022.0000,0.4147,PUT,1800,0.0473,5.5135,10000.0000,1.0000,465.2418,0.0000,465.2418,0,0.0000,465.2418,3363.0824,0.0000,583.5455
2023-07,2023-06-30,2023-07-28,1883.9000,1860.7100,-0.0123,0.0387,1623.0500,1939.0000,0.3844,PUT,1900,0.0470,5.3081,10000.0000,1.0000,462.7423,210.0383,252.7040,0,0.0000,252.7040,3615.7865,0.0000,260.2808
2023-08,2023-07-28,2023-08-25,1860.7100,1650.6000,-0.1129,-0.0123,1824.2000,2032.3000,0.3192,PUT,1850,0.0324,5.3743,10000.0000,1.0000,317.3044,1072.9646,-755.6601,0,0.0000,-755.6601,2860.1263,755.6601,1746.4513
2023-09,2023-08-25,2023-09-29,1650.6000,1679.5600,0.0175,-0.1129,1466.0000,1887.6500,0.3193,PUT,1650,0.0392,6.0584,10000.0000,1.0000,385.4219,0.0000,385.4219,0,0.0000,385.4219,3245.5482,370.2382,446.7443
2023-10,2023-09-29,2023-10-27,1679.5600,1783.3100,0.0618,0.0175,1530.7000,1745.0000,0.3217,PUT,1700,0.0422,5.9539,10000.0000,1.0000,414.4273,0.0000,414.4273,0,0.0000,414.4273,3659.9755,0.0000,686.2185
2023-11,2023-10-27,2023-11-24,1783.3100,2073.5900,0.1628,0.0618,1520.0000,1868.0000,0.4326,PUT,1800,0.0528,5.6076,10000.0000,1.0000,519.8576,0.0000,519.8576,0,0.0000,519.8576,4179.8331,0.0000,144.6448
